Table 1
,,,공항별 통계,,,,,,
,,,,,,,,,
검색 기간,2020.05~2020.08,,,,,,,,
공항 구분,전체,,,,,,,,
노선 구분,전체,운항 구분,전체,여객화물 구분,전체,여객 구분,전체,화물 구분,전체
,,,,,,,,,
공항명,운항(편),,,여객(명),,,화물(톤),,
,도착,출발,계,도착,출발,계,도착,출발,계
김포,"20,197","20,203","40,400","3,137,826","3,099,814","6,237,640","20,899.7","19,560","40,459.6"
김해,"8,006","7,998","16,004","1,125,212","1,131,911","2,257,123","4,767.4","5,447.6","10,215.1"
제주,"24,881","24,917","49,798","3,849,338","3,883,123","7,732,461","27,050.7","28,120.8","55,171.5"
대구,"2,203","2,203","4,406","304,649","300,656","605,305","1,637.8","1,667","3,304.8"
광주,"2,654","2,648","5,302","342,544","346,698","689,242","1,472.8","1,379.8","2,852.6"
무안,29,29,58,"3,507","3,767","7,274",14.8,15,29.8
청주,"2,383","2,379","4,762","364,874","360,405","725,279","1,934.1","1,709.8","3,643.9"
양양,578,579,"1,157","58,725","57,813","116,538",246.6,220.3,466.9
여수,"1,071","1,071","2,142","123,245","127,434","250,679",380.8,383.5,764.2
울산,900,900,"1,800","102,177","104,333","206,510",360.2,347.2,707.3
사천,10,10,20,948,"1,022","1,970",5.1,4.8,9.9
포항,92,92,184,"8,638","9,021","17,659",37.6,37,74.6
군산,5,5,10,632,545,"1,177",4.2,3,7.3
원주,5,5,10,526,406,932,3.4,1.9,5.3
인천,"15,967","15,968","31,935","434,706","339,852","774,558","461,078.1","459,666.2","920,744.3"
합계,"78,981","79,007","157,988","9,857,547","9,766,800","19,624,347","519,893.2","518,563.7","1,038,457"
