"행정구역(동읍면)별","항목",2020. 05,2020. 06,2020. 07,2020. 08
"행정구역(동읍면)별","항목",계,계,계,계
"제주특별자치도","총인구수 (명)",670793,671316,671913,672524
"제주시","총인구수 (명)",489734,490254,490772,491184
"한림읍","총인구수 (명)",21202,21198,21218,21229
"애월읍","총인구수 (명)",36516,36616,36705,36815
"구좌읍","총인구수 (명)",15452,15466,15499,15524
"조천읍","총인구수 (명)",24976,25058,25149,25168
"한경면","총인구수 (명)",9011,9061,9079,9082
"추자면","총인구수 (명)",1696,1687,1682,1681
"우도면","총인구수 (명)",1792,1781,1778,1768
"일도1동","총인구수 (명)",2665,2669,2655,2640
"일도2동","총인구수 (명)",33362,33333,33300,33232
"이도1동","총인구수 (명)",7676,7670,7664,7645
"이도2동","총인구수 (명)",50074,50115,50136,50112
"삼도1동","총인구수 (명)",13671,13692,13671,13655
"삼도2동","총인구수 (명)",8100,8067,8074,8068
"용담1동","총인구수 (명)",7203,7174,7176,7159
"용담2동","총인구수 (명)",14992,14970,14961,14925
"건입동","총인구수 (명)",9164,9150,9136,9116
"화북동","총인구수 (명)",24709,24670,24677,24635
"삼양동","총인구수 (명)",25743,25724,25745,25794
"봉개동","총인구수 (명)",5248,5264,5278,5274
"아라동","총인구수 (명)",35281,35460,35511,35937
"오라동","총인구수 (명)",15703,15730,15747,15789
"연동","총인구수 (명)",41528,41660,41744,41678
"노형동","총인구수 (명)",54309,54345,54408,54517
"외도동","총인구수 (명)",21866,21862,21936,21927
"이호동","총인구수 (명)",4583,4602,4597,4580
"도두동","총인구수 (명)",3212,3230,3246,3234
"서귀포시","총인구수 (명)",181059,181062,181141,181340
"대정읍","총인구수 (명)",21316,21298,21328,21431
"남원읍","총인구수 (명)",18758,18754,18762,18752
"성산읍","총인구수 (명)",15290,15302,15284,15300
"안덕면","총인구수 (명)",11974,11940,11956,11986
"표선면","총인구수 (명)",12277,12276,12290,12310
"송산동","총인구수 (명)",4195,4198,4169,4205
"정방동","총인구수 (명)",2231,2245,2238,2217
"중앙동","총인구수 (명)",3641,3624,3608,3595
"천지동","총인구수 (명)",3556,3568,3558,3561
"효돈동","총인구수 (명)",5254,5255,5263,5254
"영천동","총인구수 (명)",5261,5236,5222,5202
"동홍동","총인구수 (명)",23185,23166,23215,23202
"서홍동","총인구수 (명)",10438,10416,10413,10439
"대륜동","총인구수 (명)",14467,14514,14538,14556
"대천동","총인구수 (명)",13819,13820,13826,13829
"중문동","총인구수 (명)",11471,11515,11533,11567
"예래동","총인구수 (명)",3926,3935,3938,3934
